hyena	African animals	0.98375	6
camel	African animals	0.53954	6
zebra	African animals	0.70835	6
giraffe	African animals	0.98357	6
gorilla	African animals	0.97607	6
elephant	African animals	0.97414	6
lion	African safari animals	0.97069	5
zebra	African safari animals	0.95395	5
hyena	African safari animals	0.98895	5
giraffe	African safari animals	0.98215	5
camel	African safari animals	0.91504	5
gorilla	African wildlife animals	0.95114	6
giraffe	African wildlife animals	0.96763	6
hyena	African wildlife animals	0.97318	6
camel	African wildlife animals	0.66433	6
elephant	African wildlife animals	0.95809	6
zebra	African wildlife animals	0.89613	6
penguin	Arctic animals	0.72385	4
caribou	Arctic animals	0.98850	4
seal	Arctic animals	0.81383	4
walrus	Arctic animals	0.98909	4
caribou	North American wildlife	0.99264	13
bison	North American wildlife	0.99234	13
coyote	North American wildlife	0.97848	13
deer	North American wildlife	0.99288	13
hare	North American wildlife	0.87607	13
raccoon	North American wildlife	0.97696	13
groundhog	North American wildlife	0.90822	13
elk	North American wildlife	0.99248	13
gopher	North American wildlife	0.86941	13
fox	North American wildlife	0.95058	13
moose	North American wildlife	0.99314	13
beaver	North American wildlife	0.98096	13
bear	North American wildlife	0.98367	13
coyote	North American wildlife animals	0.93090	14
gopher	North American wildlife animals	0.82270	14
cougar	North American wildlife animals	0.93956	14
elk	North American wildlife animals	0.98248	14
bison	North American wildlife animals	0.98162	14
groundhog	North American wildlife animals	0.87743	14
moose	North American wildlife animals	0.97864	14
beaver	North American wildlife animals	0.94561	14
hare	North American wildlife animals	0.83898	14
bear	North American wildlife animals	0.94003	14
caribou	North American wildlife animals	0.98100	14
raccoon	North American wildlife animals	0.93340	14
fox	North American wildlife animals	0.90524	14
deer	North American wildlife animals	0.98303	14
tent	Used for camping	0.99727	2
lantern	Used for camping	0.88102	2
stove	Used for cooking a meal	0.98708	3
skillet	Used for cooking a meal	0.96977	3
pan	Used for cooking a meal	0.95277	3
pencil	Used for drawing	0.99218	2
crayon	Used for drawing	0.99401	2
saddle	Used for horseback riding	0.99699	3
donkey	Used for horseback riding	0.93418	3
whip	Used for horseback riding	0.84350	3
harmonica	Used for playing music	0.95176	2
guitar	Used for playing music	0.98744	2
yacht	Used for sailing	0.99694	4
sailboat	Used for sailing	0.98350	4
anchor	Used for sailing	0.98111	4
ship	Used for sailing	0.99647	4
snowboard	Used for skiing	0.99657	3
sled	Used for skiing	0.99587	3
skis	Used for skiing	0.99261	3
van	Used for transportation	0.98990	19
ambulance	Used for transportation	0.74160	19
car	Used for transportation	0.99461	19
scooter	Used for transportation	0.96320	19
bicycle	Used for transportation	0.98886	19
bus	Used for transportation	0.99558	19
train	Used for transportation	0.99338	19
airplane	Used for transportation	0.97914	19
trailer	Used for transportation	0.98837	19
unicycle	Used for transportation	0.92453	19
cart	Used for transportation	0.98905	19
bike	Used for transportation	0.98832	19
trolley	Used for transportation	0.98973	19
truck	Used for transportation	0.99339	19
subway	Used for transportation	0.99315	19
limousine	Used for transportation	0.98322	19
wagon	Used for transportation	0.98929	19
motorcycle	Used for transportation	0.98481	19
taxi	Used for transportation	0.99075	19
sofa	a backrest	0.94005	5
rocker	a backrest	0.95900	5
bench	a backrest	0.99210	5
chair	a backrest	0.98545	5
couch	a backrest	0.91810	5
chair	a backrest for support	0.99085	2
bench	a backrest for support	0.99293	2
grapefruit	a citrus fruit	0.99404	4
lime	a citrus fruit	0.99083	4
mandarin	a citrus fruit	0.99280	4
orange	a citrus fruit	0.99302	4
desk	a flat surface	0.99646	3
dining table	a flat surface	0.99237	3
table	a flat surface	0.99675	3
table	a flat surface for placing items	0.99475	2
dining table	a flat surface for placing items	0.98778	2
table	a flat surface for placing objects	0.99453	2
dining table	a flat surface for placing objects	0.98725	2
table	a flat surface for placing things	0.99407	2
dining table	a flat surface for placing things	0.98567	2
pear	a fruit	0.96575	9
banana	a fruit	0.97024	9
tangerine	a fruit	0.95724	9
cantaloupe	a fruit	0.97410	9
nectarine	a fruit	0.97186	9
orange	a fruit	0.95965	9
honeydew	a fruit	0.94514	9
peach	a fruit	0.96140	9
apple	a fruit	0.97373	9
crab	a hard shell	0.87214	6
snail	a hard shell	0.87486	6
turtle	a hard shell	0.93237	6
shell	a hard shell	0.97558	6
clam	a hard shell	0.95348	6
tortoise	a hard shell	0.95443	6
dining table	a horizontal surface	0.99151	2
table	a horizontal surface	0.99550	2
barn	a roof	0.73654	3
garage	a roof	0.72352	3
shed	a roof	0.90169	3
cell phone	a screen	0.96582	2
laptop	a screen	0.96663	2
cell phone	a screen/display	0.99400	2
laptop	a screen/display	0.99246	2
chair	a seat	0.99737	4
rocker	a seat	0.96052	4
bench	a seat	0.99751	4
sofa	a seat	0.99559	4
chair	a seat for sitting	0.99496	2
bench	a seat for sitting	0.99290	2
tomahawk	a sharp blade	0.99278	6
spear	a sharp blade	0.99203	6
dagger	a sharp blade	0.99563	6
machete	a sharp blade	0.99547	6
razor	a sharp blade	0.99587	6
sword	a sharp blade	0.99645	6
salamander	a slimy body	0.88061	5
toad	a slimy body	0.70177	5
frog	a slimy body	0.65498	5
tortoise	a slimy body	0.63316	5
worm	a slimy body	0.87818	5
olive	a smooth skin	0.87170	5
coconut	a smooth skin	0.58826	5
avocado	a smooth skin	0.80093	5
banana	a smooth skin	0.75352	5
pineapple	a smooth skin	0.71754	5
olive	a soft and mushy interior	0.75590	10
pineapple	a soft and mushy interior	0.60819	10
peach	a soft and mushy interior	0.89070	10
cherry	a soft and mushy interior	0.63531	10
avocado	a soft and mushy interior	0.87107	10
honeydew	a soft and mushy interior	0.84501	10
cantaloupe	a soft and mushy interior	0.85322	10
tangerine	a soft and mushy interior	0.66669	10
nectarine	a soft and mushy interior	0.84351	10
banana	a soft and mushy interior	0.87077	10
rhubarb	a sour taste	0.98030	3
lemon	a sour taste	0.96223	3
lime	a sour taste	0.95969	3
wasp	a stinger	0.99668	3
ant	a stinger	0.89070	3
hornet	a stinger	0.99731	3
cranberry	a sweet taste	0.90752	8
blueberry	a sweet taste	0.96425	8
honeydew	a sweet taste	0.93220	8
tangerine	a sweet taste	0.91233	8
raspberry	a sweet taste	0.92366	8
nectarine	a sweet taste	0.96572	8
strawberry	a sweet taste	0.96722	8
cantaloupe	a sweet taste	0.94831	8
coconut	a tropical origin	0.82933	5
banana	a tropical origin	0.82395	5
pineapple	a tropical origin	0.80138	5
avocado	a tropical origin	0.82724	5
cantaloupe	a tropical origin	0.75362	5
bird	a type of animal	0.95465	7
cat	a type of animal	0.97612	7
chimp	a type of animal	0.98019	7
rat	a type of animal	0.97766	7
squirrel	a type of animal	0.97260	7
dog	a type of animal	0.94637	7
rabbit	a type of animal	0.96876	7
pear	a type of fruit	0.98270	12
nectarine	a type of fruit	0.98223	12
strawberry	a type of fruit	0.97162	12
tangerine	a type of fruit	0.97426	12
cantaloupe	a type of fruit	0.98462	12
apple	a type of fruit	0.98550	12
honeydew	a type of fruit	0.96690	12
peach	a type of fruit	0.97606	12
grape	a type of fruit	0.98418	12
plum	a type of fruit	0.97648	12
banana	a type of fruit	0.98482	12
orange	a type of fruit	0.97757	12
skyscraper	a vertical structure	0.99454	3
pyramid	a vertical structure	0.89519	3
bridge	a vertical structure	0.84184	3
hawk	able to hover	0.67337	2
crow	able to hover	0.51298	2
frog	able to jump	0.96069	2
toad	able to jump	0.97571	2
scarf	accessories for cold weather	0.91064	5
shawl	accessories for cold weather	0.78071	5
gloves	accessories for cold weather	0.93797	5
mittens	accessories for cold weather	0.95585	5
earmuffs	accessories for cold weather	0.88528	5
necklace	accessories for dressing up	0.95825	2
veil	accessories for dressing up	0.87071	2
belt	accessories for enhancing an outfit	0.95492	2
veil	accessories for enhancing an outfit	0.68639	2
